Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Ann Morgan #2,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,67.55,69,55,65,-70,,65,37.5,40,42.5,,42.5,77.5,85,92.5,,92.5,200,1,206.39,204.02,179.97,41.94,Yes,USA,SC,USAPL,,11/20/2021,USA,SC,,Upstate Novice Open,Yes
Roge Bates,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,105,100+,77.5,85,90,,90,52.5,57.5,60,,60,102.5,107.5,-115,,107.5,257.5,1,215.74,211.6,180.62,45.36,Yes,USA,TX,USAPL,,10/8/2022,USA,TX,,West Texas Open 4,Yes
Lynn Waishwell,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,103.8,84+,-25,-25,-25,,,32.5,35,-37.5,,35,85,87.5,90,,90,,DQ,,,,,Yes,USA,IL,USAPL,IPF,8/21/2021,USA,WI,,Women Of Power Open,Yes
Lynn Waishwell,F,SBD,Raw,67.5,65-69,60-69,FR-O,103.8,84+,-25,-25,-25,,,32.5,35,-37.5,,35,85,87.5,90,,90,,DQ,,,,,Yes,USA,IL,USAPL,IPF,8/21/2021,USA,WI,,Women Of Power Open,Yes
Ann Whitmarsh,F,B,Single-ply,67.5,65-69,60-69,F-M3,63.82,69,,,,,,32.5,35,40,,40,,,,,,40,1,42.68,42.54,37.56,23.95,Yes,USA,FL,USAPL,IPF,6/14/2021,USA,FL,Daytona Beach,Equipped Bench Nationals,Yes
Gale Williams,F,B,Raw,69,65-69,70-999,FR-M,62.85,63,,,,,,47.5,50,-52.5,,50,,,,,,50,1,53.85,53.79,47.5,41.78,Yes,USA,GA,USAPL,IPF,2/4/2017,USA,GA,,Georgia State Championships,Yes
Gale Williams,F,B,Raw,69,65-69,70-999,FR-O,62.85,63,,,,,,47.5,50,-52.5,,50,,,,,,50,2,53.85,53.79,47.5,41.78,Yes,USA,GA,USAPL,IPF,2/4/2017,USA,GA,,Georgia State Championships,Yes
Jill McLaughlin,F,SBD,Raw,66.5,65-69,60-69,FR-M3b,79.29,84,-85,-85,-85,,,57.5,60,-62.5,,60,115,-125,125,,125,,DQ,,,,,Yes,USA,CO,USAPL,IPF,2/9/2019,USA,CO,,Colorado State Championships,Yes
Diann Nelson,F,B,Raw,65.5,65-69,60-69,FR-M,47.85,52,,,,,,-65,67.5,70,,70,,,,,,70,1,90.54,92.92,82.73,72.73,Yes,USA,SD,USAPL,IPF,6/26/2021,USA,NE,,Nebraska State Bench Press,Yes
Krista McGowan,F,B,Raw,66.5,65-69,60-69,FR-M,56.4,57,,,,,,60,-62.5,-62.5,,60,,,,,,60,1,69.22,70.2,62.09,53.77,Yes,USA,KS,USAPL,IPF,6/26/2021,USA,NE,,Nebraska State Bench Press,Yes
Marie Takemoto,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,57.9,60,-37.5,37.5,42.5,,42.5,25,30,-40,,30,70,85,92.5,,92.5,165,1,187.12,189.13,167.19,38.26,Yes,USA,TX,USAPL,,10/8/2022,USA,TX,,Alamo City Rookie Rumble,Yes
Alma Kimura,F,SBD,Raw,68.5,65-69,60-69,FR-M3,66.5,67.5,105,115,120,,120,47.5,52.5,55,,55,132.5,147.5,-152.5,,147.5,322.5,1,335.85,332.72,293.58,68.24,Yes,USA,WA,USAPL,,5/6/2023,USA,WA,,Washington Ladies of Iron,Yes
Molly Douce,F,SBD,Raw,66.5,65-69,60-69,FR-M3,81.2,82.5,70,80,85,,85,52.5,57.5,60,,60,120,132.5,-135,,132.5,277.5,1,259.56,251.85,220.68,53.13,Yes,USA,WA,USAPL,,5/6/2023,USA,WA,,Washington Ladies of Iron,Yes
Alma Kimura,F,SBD,Raw,68.5,65-69,60-69,FR-M3b,66.5,67.5,105,115,120,,120,47.5,52.5,55,,55,132.5,147.5,-152.5,,147.5,322.5,1,335.85,332.72,293.58,68.24,Yes,USA,WA,USAPL,,5/6/2023,USA,WA,,Washington Ladies of Iron,Yes
Molly Douce,F,SBD,Raw,66.5,65-69,60-69,FR-M3b,81.2,82.5,70,80,85,,85,52.5,57.5,60,,60,120,132.5,-135,,132.5,277.5,1,259.56,251.85,220.68,53.13,Yes,USA,WA,USAPL,,5/6/2023,USA,WA,,Washington Ladies of Iron,Yes
Lillian Otani,F,SBD,Raw,69.5,65-69,70-999,FR-M4,46.3,48,45,52.5,55,,55,32.5,35,37.5,,37.5,62.5,70,-77.5,,70,162.5,1,215.35,220.91,197.16,45.73,Yes,USA,WA,USAPL,,5/6/2023,USA,WA,,Washington Ladies of Iron,Yes
Lillian Otani,F,SBD,Raw,69.5,65-69,70-999,FR-M4a,46.3,48,45,52.5,55,,55,32.5,35,37.5,,37.5,62.5,70,-77.5,,70,162.5,1,215.35,220.91,197.16,45.73,Yes,USA,WA,USAPL,,5/6/2023,USA,WA,,Washington Ladies of Iron,Yes
Molly Douce,F,BD,Raw,66.5,65-69,60-69,FR-M3,81.2,82.5,,,,,,52.5,57.5,60,,60,120,132.5,-135,,132.5,192.5,1,180.05,174.71,153.08,,Yes,USA,WA,USAPL,,5/6/2023,USA,WA,,Washington Ladies of Iron,Yes
Denise Thomas,F,SBD,Raw,67,65-69,60-69,FR-M3b,66.3,72,82.5,-87.5,-87.5,,82.5,45,47.5,-50,,47.5,105,110,115,,115,245,1,255.59,253.32,223.53,51.94,Yes,USA,NH,USAPL,IPF,1/27/2018,USA,NH,,Arkitect Open,Yes
Denise Thomas,F,SBD,Raw,67,65-69,60-69,FR-O,66.3,72,82.5,-87.5,-87.5,,82.5,45,47.5,-50,,47.5,105,110,115,,115,245,2,255.59,253.32,223.53,51.94,Yes,USA,NH,USAPL,IPF,1/27/2018,USA,NH,,Arkitect Open,Yes
Guilene Mallard,F,BD,Raw,67.5,65-69,60-69,FR-M3,79.7,84,,,,,,52.5,-57.5,57.5,,57.5,110,115,-120,,115,172.5,1,162.84,158.17,138.74,,Yes,USA,NJ,USAPL,IPF,2/9/2020,USA,NJ,,Garden State Winter War,Yes
Barbara Parsons,F,SBD,Raw,69.5,65-69,70-999,FR-M4,83.65,90,65,-72.5,72.5,,72.5,37.5,40,42.5,,42.5,87.5,92.5,97.5,,97.5,212.5,1,195.92,189.89,166.06,40.2,Yes,USA,NC,USAPL,,4/22/2023,USA,NC,,Crystal Coast Classic,Yes
Sherry Boyce,F,SBD,Raw,66.5,65-69,60-69,FR-M3,85.75,90,-35,-35,-35,,,,,,,,,,,,,,DQ,,,,,Yes,USA,NC,USAPL,,4/22/2023,USA,NC,,Crystal Coast Classic,Yes
Julia Nicholls,F,SBD,Raw,66.5,65-69,60-69,FR-M3,60.45,67.5,40,45,-50,,45,-27.5,27.5,30,,30,57.5,62.5,70,,70,145,1,159.98,160.73,142,32.61,Yes,USA,NC,USAPL,,4/22/2023,USA,NC,,Crystal Coast Classic,Yes
Leslie Macko,F,SBD,Single-ply,68,65-69,60-69,F-M3,61.4,63,57.5,62.5,67.5,,67.5,40,42.5,47.5,,47.5,80,90,95,,95,210,2,229.46,230,203.16,38.48,Yes,USA,WA,USAPL,IPF,5/18/2018,USA,WA,,Open Nationals,Yes
Bonnie Triolo,F,SBD,Raw,67.5,65-69,60-69,FR-M3,55.4,56,-55,55,-60,,55,37.5,40,42.5,,42.5,85,90,95,,95,192.5,1,224.73,228.42,202.09,46.15,Yes,USA,NJ,USAPL,,2/19/2023,USA,NJ,,Garden State Winter War,Yes
Linda Kephart,F,SBD,Raw,68.5,65-69,60-69,FR-M3b,57.1,60,85,88,-90,,88,37.5,40,45,,45,115,122.5,-125,,122.5,255.5,1,292.39,296.07,261.79,59.85,Yes,USA,MD,USAPL,,5/29/2022,USA,VA,,Virginia Open State Championships,Yes
Roxanne Lord,F,SBD,Raw,65.5,65-69,60-69,FR-M3b,86.25,90,100,105,110,,110,52.5,55,57.5,,57.5,117.5,125,130,,130,297.5,1,270.38,261.93,228.52,55.62,Yes,USA,VA,USAPL,,5/29/2022,USA,VA,,Virginia Open State Championships,Yes
Ann Whitmarsh,F,SBD,Single-ply,66.5,65-69,60-69,F-M3,64.22,72,65,70,75,,75,37.5,40,45,,45,85,92.5,100,,100,220,1,233.89,232.89,205.59,39.29,Yes,USA,FL,USAPL,IPF,2/1/2020,USA,FL,,3rd Annual Southwest Florida Open Championships,Yes
Cindy Shanley,F,SBD,Raw,66.5,65-69,60-69,FR-M3b,65.5,67.5,42.5,47.5,52.5,,52.5,37.5,42.5,45,,45,85,87.5,90,,90,187.5,1,197.01,195.6,172.63,40.04,Yes,USA,TX,USAPL,,8/19/2023,USA,TX,,2nd Annual Power of Rise,Yes
Ann Whitmarsh,F,SBD,Single-ply,68.5,65-69,60-69,F-M3b,62.5,67.5,70,75,80,,80,37.5,40,42.5,,42.5,92.5,97.5,102.5,,102.5,225,1,243.17,243.11,214.69,40.81,Yes,USA,FL,USAPL,,3/26/2022,USA,FL,,Rosie the Riveter Women's Championship,Yes
Helen Hankerson,F,BD,Raw,67.5,65-69,60-69,FR-MO,73.79,76,,,,,,102.5,-110,-115,,102.5,-137.5,-137.5,,,,,DQ,,,,,Yes,USA,FL,USAPL,IPF,3/20/2021,USA,FL,,29th Annual Military National Championships,Yes
Dianne Wamsley,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,67.2,67.5,100,107.5,112.5,,112.5,55,60,-62.5,,60,122.5,130,135,,135,307.5,1,318.28,314.85,277.76,64.67,Yes,USA,NY,USAPL,,3/2/2024,USA,CA,,STS Shamrock Showcase,Yes
Jane Spangler,F,BD,Raw,66.5,65-69,60-69,FR-M3b,79.8,82.5,,,,,,-30,30,40,,40,75,85,-87.5,,85,125,1,117.93,114.54,100.46,,Yes,USA,WV,USAPL,,3/19/2023,USA,VA,,Virginia Winter Thaw,Yes
Joyce Eggleston,F,SBD,Raw,68.5,65-69,60-69,FR-M3,54.85,56,67.5,75,-77.5,,75,37.5,-40,-40,,37.5,95,102.5,107.5,,107.5,220,1,258.56,263.1,232.83,53.16,Yes,USA,NY,USAPL,,7/15/2023,USA,NY,,Northeast Regionals,Yes
Gail Moore,F,SBD,Raw,68,65-69,60-69,FR-M3b,72.2,84,85,90,100,,100,60,65,72.5,,72.5,112.5,125,132.5,,132.5,305,1,303.2,297.14,261.72,61.67,Yes,USA,PA,USAPL,IPF,8/27/2016,USA,PA,,Bucks County Powerlifting Meet,Yes
Pamela Echterling,F,SBD,Raw,66,65-69,60-69,FR-M3,53.21,57,50,55,60,,60,27.5,32.5,-35,,32.5,75,-82.5,82.5,,82.5,175,2,209.95,214.3,189.81,43.34,Yes,USA,FL,USAPL,IPF,12/9/2016,USA,FL,Orlando,American Open & Police-Fire Nationals,Yes
Deborah Stern,F,SBD,Raw,68,65-69,60-69,FR-M3b,47,47,55,60,-65,,60,37.5,40,-41.5,,40,70,80,-90,,80,180,1,235.9,242.08,215.8,49.9,Yes,USA,,USAPL,IPF,5/26/2018,USA,CA,Mountain View,Boss of NorCal 7,Yes
Ann Whitmarsh,F,B,Single-ply,69.5,65-69,70-999,F-M4,61.36,,,,,,,40,42.5,45,,45,,,,,,45,1,49.19,49.31,43.56,27.62,Yes,USA,FL,USAPL,,3/3/2023,USA,OH,,Arnold Masters Pro Bench Finals,Yes
Nancy Flynn,F,D,Raw,69.5,65-69,70-999,FR-M4a,66.68,67.5,,,,,,,,,,,72.5,77.5,82.5,,82.5,82.5,1,85.78,84.95,74.95,,Yes,USA,TX,USAPL,,10/28/2023,USA,TX,,H-Town Showdown,Yes
Nancy Flynn,F,SBD,Raw,69.5,65-69,70-999,FR-M4a,66.68,67.5,40,45,-55,,45,40,-42.5,-42.5,,40,72.5,77.5,82.5,,82.5,167.5,1,174.16,172.47,152.17,35.39,Yes,USA,TX,USAPL,,10/28/2023,USA,TX,,H-Town Showdown,Yes
Roge Bates,F,SBD,Raw,69.5,65-69,70-999,FR-M3b,107.6,100+,82.5,87.5,95,,95,57.5,-62.5,62.5,,62.5,95,110,117.5,,117.5,275,1,228.41,224.68,191.4,48.16,Yes,USA,TX,USAPL,,1/20/2024,USA,TX,,Big Horn Bash,Yes
Margaret Batcheler,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,79.4,84,95,105,110,,110,45,52.5,57.5,,57.5,95,110,115,,115,282.5,1,267.19,259.58,227.74,54.6,Yes,USA,NH,USAPL,IPF,4/20/2019,USA,NH,,New Hampshire & Vermont State Championships,Yes
Rachel Brown #1,F,SBD,Raw,66,65-69,60-69,FR-M3b,82,82.5,70,75,80,,80,57.5,60,-62.5,,60,115,125,-135,,125,265,1,246.68,239.25,209.51,50.53,Yes,USA,KS,USAPL,,5/6/2023,USA,KS,,Kansas Ladies of Iron,Yes
Susan Walter,F,SBD,Raw,67.5,65-69,60-69,FR-M,62.6,63,42.5,45,50,,50,40,42.5,-45,,42.5,92.5,95,97.5,,97.5,190,2,205.14,205.04,181.07,41.74,Yes,USA,MA,USAPL,IPF,5/28/2016,USA,RI,,MA and RI Open State Championships,Yes
Susan Walter,F,SBD,Raw,67.5,65-69,60-69,FR-O,62.6,63,42.5,45,50,,50,40,42.5,-45,,42.5,92.5,95,97.5,,97.5,190,14,205.14,205.04,181.07,41.74,Yes,USA,MA,USAPL,IPF,5/28/2016,USA,RI,,MA and RI Open State Championships,Yes
Joyce Aiazzi,F,SBD,Raw,68.5,65-69,60-69,FR-M3,48.3,52,42.5,52.5,57.5,,57.5,40,-47.5,-47.5,,40,77.5,87.5,92.5,,92.5,190,1,244.07,250.49,222.86,51.29,Yes,USA,,USAPL,IPF,12/5/2015,USA,NV,,West Coast Regionals,Yes
Patricia Revell,F,B,Single-ply,66.5,65-69,60-69,F-O,79.15,82.5,,,,,,67.5,70,72.5,,72.5,,,,,,72.5,1,68.68,66.74,58.56,38.79,Yes,USA,IN,USAPL,,9/3/2023,USA,OH,,Ohio Summer Showdown,Yes
Sherry Boyce,F,SBD,Raw,65.5,65-69,60-69,FR-M3b,86.65,90,40,42.5,45,,45,40,42.5,-45,,42.5,75,80,85,,85,172.5,1,156.44,151.55,132.17,32.2,Yes,USA,NC,USAPL,,4/16/2022,USA,NC,,Crystal Coast Classic,Yes
Julia Nicholls,F,SBD,Raw,65.5,65-69,60-69,FR-M3b,60.5,67.5,30,35,37.5,,37.5,25,27.5,30,,30,55,60,67.5,,67.5,135,1,148.87,149.55,132.12,30.34,Yes,USA,NC,USAPL,,4/16/2022,USA,NC,,Crystal Coast Classic,Yes
Barbara Parsons,F,SBD,Raw,68.5,65-69,60-69,FR-M3b,82.2,82.5,60,-67.5,67.5,,67.5,32.5,37.5,40,,40,90,95,-102.5,,95,202.5,1,188.28,182.59,159.87,38.57,Yes,USA,NC,USAPL,,4/16/2022,USA,NC,,Crystal Coast Classic,Yes
Sandy Simmons,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,63,63,-72.5,-72.5,72.5,,72.5,35,40,-42.5,,40,90,97.5,100,,100,212.5,1,228.55,228.22,201.52,46.49,Yes,USA,FL,USAPL,IPF,5/28/2016,USA,FL,,35th Annual Florida State Powerlifting Championship,Yes
Lenore Gelb,F,SBD,Raw,66.5,65-69,60-69,FR-M3,55.6,57,57.5,-62.5,62.5,,62.5,32.5,35,-37.5,,35,80,85,87.5,,87.5,185,1,215.46,218.9,193.65,44.23,Yes,USA,MD,USAPL,IPF,10/29/2017,USA,DE,,Delaware Fall Classic,Yes
Susan Elwyn,F,SBD,Raw,65,65-69,60-69,FR-M3b,47.7,52,70,80,82.5,,82.5,40,-45,45,,45,100,110,-120,,110,237.5,1,307.89,316,281.39,64.89,Yes,USA,FL,USAPL,IPF,7/19/2013,USA,FL,Orlando,Raw Nationals,Yes
Susan Elwyn,F,SBD,Raw,65,65-69,60-69,FR-O,47.7,52,70,80,82.5,,82.5,40,-45,45,,45,100,110,-120,,110,237.5,9,307.89,316,281.39,64.89,Yes,USA,FL,USAPL,IPF,7/19/2013,USA,FL,Orlando,Raw Nationals,Yes
Helen White,F,SBD,Raw,68,65-69,60-69,FR-M3b,59.4,63,77.5,82.5,-85,,82.5,55,57.5,-60,,57.5,92.5,100,110,,110,250,1,278.91,280.9,248.23,56.91,Yes,USA,NJ,USAPL,IPF,7/19/2013,USA,FL,Orlando,Raw Nationals,Yes
Helen White,F,SBD,Raw,68,65-69,60-69,FR-O,59.4,63,77.5,82.5,-85,,82.5,55,57.5,-60,,57.5,92.5,100,110,,110,250,11,278.91,280.9,248.23,56.91,Yes,USA,NJ,USAPL,IPF,7/19/2013,USA,FL,Orlando,Raw Nationals,Yes
Patricia Pat Kroken,F,SBD,Raw,66,65-69,60-69,FR-M3b,81.5,84,-70,75,-82.5,,75,35,-37.5,37.5,,37.5,95,105,-107.5,,105,217.5,1,203.07,197.01,172.58,41.58,Yes,USA,NM,USAPL,IPF,7/19/2013,USA,FL,Orlando,Raw Nationals,Yes
Barbara Zappia,F,SBD,Raw,66.5,65-69,60-69,FR-M3b,58.6,60,-60,60,67.5,,67.5,30,35,-45,,35,92.5,100,-110,,100,202.5,1,227.88,229.95,203.24,46.54,Yes,USA,IN,USAPL,,3/18/2023,USA,IN,,Indiana State Championships,Yes
Sue Hallen,F,SBD,Raw,65.5,65-69,60-69,FR-M3b,98.6,100,-75,90,100,,100,75,-85,85,,85,110,120,130,,130,315,1,270.3,263.38,226.66,56.4,Yes,USA,IL,USAPL,,3/18/2023,USA,IN,,Indiana State Championships,Yes
Gretchen Herrmann,F,B,Raw,66.5,65-69,60-69,FR-M3b,127.5,100+,,,,,,62.5,72.5,-80,,72.5,,,,,,72.5,1,57.26,57.35,48.45,51.3,Yes,USA,WI,USAPL,,1/20/2024,USA,WI,,Wisconsin Warrior Open,Yes
Joanne Lutz,F,SBD,Raw,69.5,65-69,70-999,FR-M4a,59.25,60,40,45,50,,50,30,35,37.5,,37.5,70,77.5,85,,85,172.5,1,192.75,194.21,171.62,39.34,Yes,USA,IN,USAPL,,2/11/2023,USA,IN,,Cupid Classic,Yes
Christine Harms,F,SBD,Raw,66.5,65-69,60-69,FR-M3,67.3,72,70,82.5,-87.5,,82.5,37.5,42.5,-45,,42.5,107.5,122.5,-127.5,,122.5,247.5,2,255.96,253.14,223.32,52.01,Yes,USA,MO,USAPL,IPF,6/1/2019,USA,MO,,Missouri State Championships,Yes
Sonya Stevenson,F,SBD,Raw,67.5,65-69,60-69,FR-M3,91.35,84+,95,100,102.5,,102.5,60,65,-67.5,,65,115,125,132.5,,132.5,300,1,265.72,257.66,223.64,54.97,Yes,USA,MO,USAPL,IPF,6/1/2019,USA,MO,,Missouri State Championships,Yes
Yvonne Hanley,F,SBD,Raw,68.5,65-69,60-69,FR-M3,73.7,84,75,-85,-85,,75,45,47.5,-52.5,,47.5,97.5,105,-115,,105,227.5,5,223.65,218.68,192.49,45.53,Yes,USA,MN,USAPL,IPF,3/30/2019,USA,MN,,American Strength Masters Brawl,Yes
Sonya Stevenson,F,SBD,Raw,65.5,65-69,60-69,FR-M3,92.5,84+,85,95,100.5,,100.5,55,60.5,65,,65,110,115.5,120,,120,285.5,1,251.52,244.01,211.52,52.1,Yes,USA,MO,USAPL,IPF,6/17/2017,USA,MO,,Missouri State Championships,Yes
Janice Francis,F,SBD,Raw,66.5,65-69,60-69,FR-M3,82.9,90,112.5,120,-125,,120,80,85,-90,,85,145,152.5,155,,155,360,1,333.35,323.18,282.8,68.34,Yes,USA,NY,USAPL,,12/11/2022,USA,VA,,Virginia Masters Pro,Yes
Janice Francis,F,SBD,Raw,66.5,65-69,60-69,FR-M3b,82.9,90,112.5,120,-125,,120,80,85,-90,,85,145,152.5,155,,155,360,1,333.35,323.18,282.8,68.34,Yes,USA,NY,USAPL,,12/11/2022,USA,VA,,Virginia Masters Pro,Yes
Carol Dorsey,F,SBD,Raw,66.5,65-69,60-69,FR-M3b,55.5,56,,,,,52.2,,,,,38.6,,,,,77.1,167.9,1,195.78,198.95,176.01,40.2,Yes,USA,,USAPL,IPF,1/18/2014,USA,LA,,Louisiana State Powerlifting Championships,Yes
Patricia Kroken,F,SBD,Raw,69.5,65-69,70-999,FR-M,85.6,84+,75,80,85,,85,30,32.5,35,,35,92.5,100,107.5,,107.5,227.5,1,207.49,201.01,175.48,42.65,Yes,USA,NM,USAPL,IPF,3/18/2017,USA,NM,,New Mexico Open State Championships,Yes
Patricia Kroken,F,SBD,Raw,69.5,65-69,70-999,FR-O,85.6,84+,75,80,85,,85,30,32.5,35,,35,92.5,100,107.5,,107.5,227.5,2,207.49,201.01,175.48,42.65,Yes,USA,NM,USAPL,IPF,3/18/2017,USA,NM,,New Mexico Open State Championships,Yes
Maxine Fredericks,F,SBD,Raw,67.5,65-69,60-69,FR-M3b,52,52,,,,,57.5,,,,,40.5,,,,,80.5,178.5,1,217.57,222.52,197.25,45.07,Yes,USA,,USAPL,IPF,10/25/2014,USA,GA,,GA & Southern States BP & PL Championships,Yes
Denise Ambrosio,F,SBD,Raw,69.5,65-69,70-999,FR-M4,66.65,67.5,25,-27.5,-27.5,,25,25,27.5,30,,30,40,42.5,45,,45,100,1,104,103,90.88,21.13,Yes,USA,OR,USAPL,,5/6/2023,USA,CA,,NorCal Ladies of Iron,Yes
Susan Samuel,F,SBD,Raw,69.5,65-69,70-999,FR-M4a,56.8,60,-47.5,-47.5,47.5,,47.5,30,35,-37.5,,35,72.5,77.5,82.5,,82.5,165,1,189.48,191.99,169.78,38.81,Yes,USA,MI,USAPL,,5/21/2022,USA,MI,,Big Rapids Brawl,Yes
Susan Washington,F,B,Raw,67.5,65-69,60-69,FR-M3,81.5,82.5,,,,,,35,40,45,,45,,,,,,45,1,42.01,40.76,35.71,33.84,Yes,USA,MD,USAPL,,11/19/2022,USA,MD,,Maryland State Bench & Deadlift Championships,Yes
Valaida Wise,F,B,Raw,65.5,65-69,60-69,FR-M3,77.35,82.5,,,,,,25,27.5,-32.5,,27.5,,,,,,27.5,2,26.36,25.66,22.54,21,Yes,USA,MD,USAPL,,11/19/2022,USA,MD,,Maryland State Bench & Deadlift Championships,Yes
Valaida Wise,F,D,Raw,65.5,65-69,60-69,FR-O,77.35,82.5,,,,,,,,,,,70,75,80,,80,80,5,76.68,74.63,65.57,,Yes,USA,MD,USAPL,,11/19/2022,USA,MD,,Maryland State Bench & Deadlift Championships,Yes
Yvonne Hanley,F,SBD,Raw,67,65-69,60-69,FR-M3b,70.2,72,75,85,-87.5,,85,47.5,50,52.5,,52.5,110,120,-125,,120,257.5,1,259.98,255.67,225.35,52.85,Yes,USA,MN,USAPL,IPF,10/21/2017,USA,MN,,Noonan Barbell Raw Open,Yes
Pamela Echterling,F,SBD,Raw,65.5,65-69,60-69,FR-M3,56.1,57,50,52.5,-55,,52.5,30,-35,-35,,30,72.5,77.5,80,,80,162.5,1,188.13,190.93,168.88,38.58,Yes,USA,FL,USAPL,IPF,3/20/2016,USA,FL,,Orlando Open Championships,Yes
Sandy Simmons,F,SBD,Raw,67.5,65-69,60-69,FR-M3,64,72,52.5,57.5,62.5,,62.5,30,37.5,-42.5,,37.5,65,75,-77.5,,75,175,1,186.43,185.73,163.97,37.91,Yes,USA,FL,USAPL,IPF,3/20/2016,USA,FL,,Orlando Open Championships,Yes
Susan Paxson,F,SBD,Single-ply,65,65-69,60-69,F-M3,82.3,84,67.5,72.5,82.5,,82.5,35,40,47.5,,47.5,102.5,112.5,-122.5,,112.5,242.5,1,225.34,218.52,191.31,38.45,Yes,USA,FL,USAPL,IPF,9/1/2018,USA,FL,,2nd Annual North Florida Open Championships,Yes
Susan Paxson,F,SBD,Raw,65,65-69,60-69,FR-M3,82.3,84,67.5,72.5,82.5,,82.5,35,40,47.5,,47.5,102.5,112.5,-122.5,,112.5,242.5,1,225.34,218.52,191.31,46.17,Yes,USA,FL,USAPL,IPF,9/1/2018,USA,FL,,2nd Annual North Florida Open Championships,Yes
Ann Whitmarsh,F,B,Single-ply,68.5,65-69,60-69,F-M3,61.67,67.5,,,,,,37.5,40,-45,,40,,,,,,40,1,43.59,43.66,38.56,24.47,Yes,USA,FL,USAPL,,6/8/2022,USA,NV,Las Vegas,Bench Nationals,Yes
Diann Nelson,F,B,Raw,66.5,65-69,60-69,FR-M3,48.57,52,,,,,,67.5,68.5,69,,69,,,,,,69,1,88.28,90.59,80.57,70.56,Yes,USA,SD,USAPL,,6/8/2022,USA,NV,Las Vegas,Bench Nationals,Yes
Diann Nelson,F,B,Raw,66.5,65-69,60-69,FR-O,48.57,52,,,,,,67.5,68.5,69,,69,,,,,,69,1,88.28,90.59,80.57,70.56,Yes,USA,SD,USAPL,,6/8/2022,USA,NV,Las Vegas,Bench Nationals,Yes
Ann Watkins,F,B,Raw,65.5,65-69,60-69,FR-M3,54.2,57,,,,,,-52.5,-52.5,52.5,,52.5,,,,,,52.5,1,62.2,63.37,56.1,48.52,Yes,USA,NJ,USAPL,IPF,9/22/2019,USA,NJ,,New Jersey Heavy Metal Classic,Yes
Guilene Mallard,F,BD,Raw,66.5,65-69,60-69,FR-M3,76.8,84,,,,,,52.5,57.5,-60,,57.5,102.5,-110,-110,,102.5,160,1,153.92,149.9,131.73,,Yes,USA,NJ,USAPL,IPF,9/22/2019,USA,NJ,,New Jersey Heavy Metal Classic,Yes
Colleen Hanstein,F,B,Raw,66.5,65-69,60-69,FR-M3,71.56,72,,,,,,-35,45,-47.5,,45,,,,,,45,1,44.95,44.1,38.85,35.34,Yes,USA,FL,USAPL,IPF,10/18/2020,USA,FL,,38th Annual Florida State Championships,Yes
Colleen Hanstein,F,B,Raw,66.5,65-69,60-69,FR-PF,71.56,72,,,,,,-35,45,-47.5,,45,,,,,,45,1,44.95,44.1,38.85,35.34,Yes,USA,FL,USAPL,IPF,10/18/2020,USA,FL,,38th Annual Florida State Championships,Yes
Colleen Hanstein,F,D,Raw,66.5,65-69,60-69,FR-M3,71.56,72,,,,,,,,,,,65,80,100,,100,100,1,99.9,98,86.34,,Yes,USA,FL,USAPL,IPF,10/18/2020,USA,FL,,38th Annual Florida State Championships,Yes
Colleen Hanstein,F,D,Raw,66.5,65-69,60-69,FR-PF,71.56,72,,,,,,,,,,,65,80,100,,100,100,1,99.9,98,86.34,,Yes,USA,FL,USAPL,IPF,10/18/2020,USA,FL,,38th Annual Florida State Championships,Yes
Colleen Hanstein,F,BD,Raw,66.5,65-69,60-69,FR-M3,71.56,72,,,,,,-35,45,-47.5,,45,65,80,100,,100,145,1,144.85,142.11,125.2,,Yes,USA,FL,USAPL,IPF,10/18/2020,USA,FL,,38th Annual Florida State Championships,Yes
Colleen Hanstein,F,BD,Raw,66.5,65-69,60-69,FR-PF,71.56,72,,,,,,-35,45,-47.5,,45,65,80,100,,100,145,1,144.85,142.11,125.2,,Yes,USA,FL,USAPL,IPF,10/18/2020,USA,FL,,38th Annual Florida State Championships,Yes
Deborah Stern,F,SBD,Raw,66,65-69,60-69,FR-M3b,48.4,52,50,57.5,62.5,,62.5,35,37.5,40,,40,80,90,-95,,90,192.5,1,246.91,253.39,225.42,51.86,Yes,USA,CA,USAPL,IPF,9/24/2016,USA,CA,Mountain View,Boss of NorCal 3,Yes
